SKU	Card Name	Player Name	Description	Sport	League	Team/Nation	Year	Set/Series	Card Number	Rarity Tier	Rarity Score	Quality Score	Condition	Grading Company	Grade	Serial Number	Autographed	Memorabilia	Rookie Card	Parallel/Variant	Price USD	Stock Count	Stock Status	Tags
TA-BKB-015	Jaden Frost Slam Sequence	Jaden Frost	Three-panel dunk sequence insert.	Basketball	Pro Basketball	Denver Peaks	2024	Slam Sequence	33	Uncommon	68	88	Near Mint	Raw		/299	No	No	No	Tri-Panel	31.75	8	In Stock	dunk,basketball,insert
TA-BKB-016	Cole Bennett Elite Handles	Cole Bennett	Point guard card with foil dribble trail.	Basketball	Pro Basketball	New York Empire	2023	Handle Package	34	Common	46	86	Excellent	Raw			No	No	No	Base	8.75	14	In Stock	guard,basketball,handles
TA-BKB-017	Amir Lawson Rookie Red Wave	Amir Lawson	Red wave rookie parallel for a lottery pick.	Basketball	Pro Basketball	Portland Pines	2025	Rookie Class	35	Very Rare	87	91	Near Mint	PSA	9	/125	No	No	Yes	Red Wave	118.00	0	Out of Stock	rookie,basketball,red-wave
TA-BKB-018	Quentin Shaw Lockdown Wing	Quentin Shaw	Perimeter defender card from a specialist subset.	Basketball	Pro Basketball	Milwaukee Cream	2024	Defensive Five	36	Common	43	85	Excellent	Raw			No	No	No	Base	7.25	16	In Stock	defense,basketball,wing
TA-BSB-001	Evan Whitaker Rookie Lumber	Evan Whitaker	Rookie batter card with bat-grain background.	Baseball	Major Baseball	St. Louis Archers	2025	Diamond Debuts	37	Rare	81	93	Near Mint	PSA	9	/499	No	No	Yes	Woodgrain	58.00	6	In Stock	rookie,baseball,hitter
TA-BSB-002	Caleb Ortiz Ace On The Mound	Caleb Ortiz	Starting pitcher card with sunset stadium foil.	Baseball	Major Baseball	San Diego Surf	2024	Mound Masters	38	Uncommon	65	90	Near Mint	SGC	9		No	No	No	Base Insert	23.50	10	In Stock	pitcher,baseball,insert
TA-BSB-003	Ryan Matsui Gold Glove Track	Ryan Matsui	Fielding specialist card with leather texture.	Baseball	Major Baseball	Seattle Rain	2023	Glove Work	39	Common	45	87	Excellent	Raw			No	No	No	Base	8.00	17	In Stock	fielding,baseball,defense
TA-BSB-004	Javier Moreno Prospect Chrome	Javier Moreno	Chrome prospect card with strong surface quality.	Baseball	Minor League	El Paso Coyotes	2025	Prospect Chrome	40	Rare	84	94	Near Mint	BGS	9.5	/299	No	No	Yes	Chrome	76.00	4	In Stock	prospect,baseball,chrome
TA-BSB-005	Logan Harper Home Run Derby	Logan Harper	Power hitter insert from derby-themed set.	Baseball	Major Baseball	New York Boroughs	2022	Derby Nights	41	Uncommon	67	89	Near Mint	Raw		/399	No	No	No	Fireworks	26.50	7	In Stock	home-run,baseball,insert
TA-BSB-006	Thomas Vega Rookie Auto	Thomas Vega	Autographed rookie pitcher card.	Baseball	Major Baseball	Miami Palms	2025	Diamond Ink	42	Legendary	94	95	Gem Mint	PSA	10	/50	Yes	No	Yes	Blue Ink	240.00	1	In Stock	auto,rookie,baseball
TA-BSB-007	Mason Lee Base Paths	Mason Lee	Speedster card highlighting stolen bases.	Baseball	Major Baseball	Kansas City Crowns	2024	Base Paths	43	Common	43	86	Excellent	Raw			No	No	No	Base	6.75	19	In Stock	speed,baseball,value
TA-BSB-008	Isaac Grant Vintage Stock	Isaac Grant	Throwback paper-stock parallel with retro border.	Baseball	Major Baseball	Cincinnati River	2021	Heritage Diamond	44	Rare	75	88	Excellent	PSA	8	/199	No	No	No	Vintage Stock	44.00	3	In Stock	retro,baseball,parallel
TA-BSB-009	Henry Brooks Call-Up Card	Henry Brooks	First major call-up rookie card.	Baseball	Major Baseball	Oakland Oaks	2025	Diamond Debuts	45	Common	51	85	Excellent	Raw			No	No	Yes	Base	10.99	0	Out of Stock	rookie,baseball,call-up
TA-BSB-010	Adrian Soto Relic Patch	Adrian Soto	Game-used jersey patch card from premium release.	Baseball	Major Baseball	Houston Orbit	2023	Clubhouse Relics	46	Very Rare	91	90	Near Mint	BGS	9	/75	No	Yes	No	Three-Color Patch	135.00	2	In Stock	relic,baseball,patch
TA-BSB-011	Benji Ross Switch Hitter	Benji Ross	Dual-threat batter insert with mirrored foil.	Baseball	Major Baseball	Chicago Northside	2024	Dual Threats	47	Uncommon	60	88	Near Mint	Raw			No	No	No	Mirror Foil	18.75	11	In Stock	baseball,hitter,insert
TA-BSB-012	Ethan Price Sapphire Rookie	Ethan Price	Sapphire-style rookie parallel with deep blue finish.	Baseball	Major Baseball	Boston Harbor	2025	Diamond Debuts	48	Very Rare	88	92	Near Mint	PSA	9	/99	No	No	Yes	Sapphire	120.00	0	Out of Stock	rookie,baseball,sapphire
TA-BSB-013	Dominic Walsh Closer Mentality	Dominic Walsh	Relief pitcher card from ninth-inning subset.	Baseball	Major Baseball	Milwaukee Malt	2022	Final Frame	49	Common	40	84	Excellent	Raw			No	No	No	Base	5.25	15	In Stock	closer,baseball,pitcher
TA-BSB-014	Kaito Nakamura International Ink	Kaito Nakamura	International signing card with authenticated autograph.	Baseball	Major Baseball	Los Angeles Palms	2024	International Ink	50	Legendary	97	96	Gem Mint	PSA	10	/25	Yes	No	No	Gold Auto	410.00	1	In Stock	auto,baseball,limited
TA-BSB-015	Miles Carter First Bowman Style	Miles Carter	Prospect-first card with green border parallel.	Baseball	Minor League	Nashville Notes	2025	Prospect Chrome	51	Rare	79	89	Near Mint	SGC	8.5	/250	No	No	Yes	Green Border	52.00	5	In Stock	prospect,rookie,baseball
TA-BSB-016	Luke Brennan Stadium Club Shot	Luke Brennan	Photography-forward card with diving catch image.	Baseball	Major Baseball	Philadelphia Liberty	2023	Stadium Lens	52	Uncommon	56	87	Near Mint	Raw			No	No	No	Base	14.50	13	In Stock	photo,baseball,fielding
TA-BSB-017	Oscar Ramirez Silver Slugger	Oscar Ramirez	Batter award-themed card with silver foil bat.	Baseball	Major Baseball	Texas Lone Stars	2024	Award Season	53	Rare	82	91	Near Mint	PSA	9	/199	No	No	No	Silver Bat	63.25	4	In Stock	award,baseball,hitter
TA-BSB-018	Nate Kim Rookie Refractor	Nate Kim	Low-pop rookie refractor with strong eye appeal.	Baseball	Major Baseball	San Francisco Bay	2025	Diamond Debuts	54	Very Rare	86	93	Near Mint	BGS	9.5	/150	No	No	Yes	Refractor	112.00	0	Out of Stock	rookie,baseball,refractor
TA-FBT-001	Carter Knox Rookie Signal Caller	Carter Knox	Quarterback rookie card with silver field texture.	American Football	Pro Football	Nashville Knights	2025	Rookie Huddle	55	Rare	85	94	Near Mint	PSA	9	/399	No	No	Yes	Silver	88.00	5	In Stock	rookie,football,quarterback
TA-FBT-002	Malik Hayes End Zone Burst	Malik Hayes	Running back insert with burst foil background.	American Football	Pro Football	Atlanta Engines	2024	End Zone Energy	56	Uncommon	63	88	Near Mint	Raw		/499	No	No	No	Burst Foil	19.50	12	In Stock	running-back,football,insert
TA-FBT-003	Devon Pike Deep Threat	Devon Pike	Wide receiver card focused on long-yardage plays.	American Football	Pro Football	Cincinnati Stripes	2023	Vertical Game	57	Common	47	86	Excellent	Raw			No	No	No	Base	8.25	16	In Stock	receiver,football,value
TA-FBT-004	Jordan Redd Rookie Patch	Jordan Redd	Rookie jersey patch card with two-color fabric piece.	American Football	Pro Football	Las Vegas Aces	2025	Rookie Relics	58	Very Rare	90	91	Near Mint	BGS	9	/99	No	Yes	Yes	Two-Color Patch	155.00	2	In Stock	rookie,football,patch
TA-FBT-005	Shane Porter Sack Leader	Shane Porter	Defensive end card with pressure-stat callout.	American Football	Pro Football	Pittsburgh Forge	2022	Defensive Front	59	Uncommon	58	87	Near Mint	SGC	8.5		No	No	No	Base Insert	16.99	10	In Stock	defense,football,edge
TA-FBT-006	Eric Dalton Rookie Auto	Eric Dalton	On-card rookie autograph for a first-round tight end.	American Football	Pro Football	Indianapolis Racers	2025	Rookie Ink	60	Legendary	95	95	Gem Mint	PSA	10	/50	Yes	No	Yes	Blue Auto	290.00	0	Out of Stock	auto,rookie,football
TA-FBT-007	Troy Whitfield Gridiron Gold	Troy Whitfield	Veteran quarterback gold parallel.	American Football	Pro Football	Dallas Stars	2021	Gridiron Gold	61	Rare	83	89	Near Mint	PSA	8	/199	No	No	No	Gold	72.00	3	In Stock	football,quarterback,gold
TA-FBT-008	Landon Brooks Red Zone Rookie	Landon Brooks	Red zone rookie card for a powerful running back.	American Football	Pro Football	Buffalo Frost	2025	Rookie Huddle	62	Common	52	86	Excellent	Raw			No	No	Yes	Base	12.75	9	In Stock	rookie,football,running-back
TA-FBT-009	Isaiah Ward Lockdown Corner	Isaiah Ward	Cornerback card with interception highlight.	American Football	Pro Football	Denver Summit	2024	Turnover Makers	63	Uncommon	60	88	Near Mint	Raw		/399	No	No	No	Blue Border	21.00	7	In Stock	defense,football,cornerback
TA-FBT-010	Grayson Miles Sunday Spotlight	Grayson Miles	Prime-time performance card with stadium-light foil.	American Football	Pro Football	Los Angeles Surf	2023	Sunday Spotlight	64	Rare	78	90	Near Mint	PSA	9	/250	No	No	No	Spotlight Foil	54.50	4	In Stock	football,spotlight,foil
TA-FBT-011	Bryce Nolan Rookie Red Ice	Bryce Nolan	Rookie receiver red ice parallel.	American Football	Pro Football	New York Metro	2025	Rookie Huddle	65	Very Rare	87	91	Near Mint	BGS	9	/125	No	No	Yes	Red Ice	118.00	1	In Stock	rookie,football,parallel
TA-FBT-012	Andre Mills Goal Line Stand	Andre Mills	Linebacker card from defensive moments subset.	American Football	Pro Football	Philadelphia Liberty	2024	Goal Line Stand	66	Common	44	85	Excellent	Raw			No	No	No	Base	7.25	14	In Stock	linebacker,football,defense
TA-FBT-013	Jalen Foster Field General	Jalen Foster	Veteran leader card with embossed nameplate.	American Football	Pro Football	Kansas City Kings	2022	Field Generals	67	Rare	80	89	Near Mint	SGC	9	/299	No	No	No	Embossed	48.00	5	In Stock	football,veteran,leader
TA-FBT-014	Micah Stone Draft Day	Micah Stone	Draft-night rookie card with stage backdrop.	American Football	Pro Football	Carolina Pines	2025	Draft Day	68	Uncommon	69	88	Near Mint	Raw		/500	No	No	Yes	Draft Foil	28.50	8	In Stock	rookie,football,draft
TA-FBT-015	Connor Hayes Black Parallel	Connor Hayes	Low-numbered black parallel for elite passer.	American Football	Pro Football	Tampa Bay Tide	2023	Elite Signal	69	Legendary	93	92	Near Mint	PSA	9	/25	No	No	No	Black	245.00	0	Out of Stock	football,quarterback,low-number
TA-FBT-016	Nico Reyes Special Teams Spark	Nico Reyes	Kick return card with sideline angle photo.	American Football	Pro Football	Seattle Rain	2024	Spark Plays	70	Common	42	84	Excellent	Raw			No	No	No	Base	5.99	17	In Stock	special-teams,football,value
TA-FBT-017	Patrick Cole Rookie Camo	Patrick Cole	Defensive tackle rookie camo parallel.	American Football	Pro Football	Cleveland Rock	2025	Rookie Huddle	71	Rare	76	90	Near Mint	PSA	9	/225	No	No	Yes	Camo	44.00	6	In Stock	rookie,football,defense
TA-FBT-018	Marcus Wynn Franchise Threads	Marcus Wynn	Jersey relic card from a franchise favorites subset.	American Football	Pro Football	Minnesota North	2022	Franchise Threads	72	Very Rare	89	88	Near Mint	SGC	8.5	/99	No	Yes	No	Purple Relic	130.00	2	In Stock	relic,football,jersey
TA-HKY-001	Owen Fraser Rookie Ice	Owen Fraser	Skater rookie card with icy blue refractor finish.	Hockey	Pro Hockey	Toronto Maples	2025	Rink Rookies	73	Rare	82	93	Near Mint	PSA	9	/399	No	No	Yes	Ice Blue	66.00	5	In Stock	rookie,hockey,skater
TA-HKY-002	Nikolai Sokolov Netminder	Nikolai Sokolov	Goalie card with dramatic crease save photo.	Hockey	Pro Hockey	Montreal Maroons	2024	Crease Kings	74	Uncommon	62	88	Near Mint	Raw		/499	No	No	No	Base Insert	18.75	11	In Stock	goalie,hockey,insert
TA-HKY-003	Tyler Quinn Power Play	Tyler Quinn	Power-play specialist card with lightning foil.	Hockey	Pro Hockey	Tampa Bay Storm	2023	Man Advantage	75	Common	46	86	Excellent	Raw			No	No	No	Base	8.00	15	In Stock	hockey,power-play,value
TA-HKY-004	Anton Berg Rookie Auto	Anton Berg	Autographed rookie defenseman card.	Hockey	Pro Hockey	Detroit Motors	2025	Rookie Ink	76	Legendary	94	95	Gem Mint	PSA	10	/50	Yes	No	Yes	Blue Auto	260.00	1	In Stock	auto,rookie,hockey
TA-HKY-005	Liam O'Connor Captain Patch	Liam O'Connor	Captain card with jersey swatch relic.	Hockey	Pro Hockey	Boston Harbors	2022	Franchise Fabrics	77	Very Rare	90	90	Near Mint	BGS	9	/75	No	Yes	No	Jersey Patch	138.00	2	In Stock	relic,hockey,captain
TA-HKY-006	Mika Virtanen Northern Rookie	Mika Virtanen	Rookie winger card from a Nordic prospect subset.	Hockey	Pro Hockey	Winnipeg North	2025	Rink Rookies	78	Common	50	85	Excellent	Raw			No	No	Yes	Base	11.50	0	Out of Stock	rookie,hockey,winger
TA-HKY-007	Chris Daniels Hat Trick Night	Chris Daniels	Three-goal performance insert with puck-trail foil.	Hockey	Pro Hockey	New York Isles	2024	Hat Trick Heroes	79	Rare	79	91	Near Mint	SGC	9	/250	No	No	No	Puck Trail	52.00	4	In Stock	hockey,hat-trick,insert
TA-HKY-008	Jonas Meyer Blue Line Cannon	Jonas Meyer	Defenseman card highlighting slap shot power.	Hockey	Pro Hockey	St. Louis Notes	2023	Blue Line	80	Uncommon	59	87	Near Mint	Raw		/399	No	No	No	Blue Border	17.25	9	In Stock	hockey,defense,slapshot
TA-HKY-009	Evan Brooks Young Guns Style	Evan Brooks	Fresh rookie card with crisp white border.	Hockey	Pro Hockey	Vancouver Peaks	2025	Rink Rookies	81	Rare	84	92	Near Mint	PSA	9	/299	No	No	Yes	White Border	74.00	3	In Stock	rookie,hockey,limited
TA-HKY-010	Sergei Volkov Black Ice	Sergei Volkov	Low-numbered black ice parallel for elite scorer.	Hockey	Pro Hockey	Washington Eagles	2021	Black Ice	82	Legendary	93	91	Near Mint	BGS	9	/25	No	No	No	Black Ice	220.00	0	Out of Stock	hockey,low-number,parallel
TA-HKY-011	Noah Pierce Breakaway	Noah Pierce	Fast-break card with motion foil effect.	Hockey	Pro Hockey	Colorado Peaks	2024	Breakaway	83	Common	43	84	Excellent	Raw			No	No	No	Base	6.75	18	In Stock	hockey,speed,value
TA-HKY-012	Kasper Lund Rookie Gold	Kasper Lund	Gold rookie parallel with low print run.	Hockey	Pro Hockey	Minnesota Pines	2025	Rink Rookies	84	Very Rare	88	92	Near Mint	PSA	9	/99	No	No	Yes	Gold	115.00	2	In Stock	rookie,hockey,gold
TA-HKY-013	Matthew King Faceoff Ace	Matthew King	Center card from faceoff specialists subset.	Hockey	Pro Hockey	Pittsburgh Bridges	2023	Faceoff Circle	85	Uncommon	55	87	Excellent	Raw			No	No	No	Base Insert	13.99	12	In Stock	hockey,center,insert
TA-HKY-014	Artem Petrov Winter Classic	Artem Petrov	Outdoor game commemorative card.	Hockey	Pro Hockey	Chicago Lakes	2022	Winter Classic	86	Rare	77	89	Near Mint	SGC	8.5	/199	No	No	No	Snow Foil	46.50	6	In Stock	hockey,outdoor,foil
TA-HKY-015	Zach Miller Rookie Canvas	Zach Miller	Canvas-style rookie card with textured finish.	Hockey	Pro Hockey	Calgary Flame	2025	Rookie Canvas	87	Uncommon	69	88	Near Mint	Raw		/500	No	No	Yes	Canvas	29.00	7	In Stock	rookie,hockey,canvas
TA-HKY-016	Dylan Hart Shutout Silver	Dylan Hart	Goalie shutout card with silver foil mask detail.	Hockey	Pro Hockey	Edmonton Energy	2024	Crease Kings	88	Rare	80	90	Near Mint	PSA	9	/250	No	No	No	Silver Mask	57.00	4	In Stock	goalie,hockey,silver
TA-HKY-017	Leo Andersen Rookie Red	Leo Andersen	Red rookie parallel for a smooth-skating defender.	Hockey	Pro Hockey	Ottawa Capitals	2025	Rink Rookies	89	Rare	76	89	Near Mint	SGC	9	/225	No	No	Yes	Red	42.00	0	Out of Stock	rookie,hockey,red
TA-HKY-018	Jack Morrison Enforcer Era	Jack Morrison	Throwback-style card with retro team striping.	Hockey	Pro Hockey	Philadelphia Flyers	2021	Retro Rink	90	Common	41	83	Very Good	Raw			No	No	No	Retro Base	5.50	16	In Stock	hockey,retro,value
TA-TEN-001	Sofia Marin Rookie Serve	Sofia Marin	Rookie tennis card with serve-motion foil.	Tennis	WTA	Spain	2025	Court Debuts	91	Rare	83	94	Near Mint	PSA	9	/399	No	No	Yes	Silver Serve	72.00	4	In Stock	rookie,tennis,serve
TA-TEN-002	Leo Hartman Grass Court Ace	Leo Hartman	Grass-season specialist card with green border.	Tennis	ATP	United Kingdom	2024	Surface Masters	92	Uncommon	64	89	Near Mint	Raw		/499	No	No	No	Green Border	22.00	9	In Stock	tennis,grass,insert
TA-TEN-003	Mina Kova Clay Court Command	Mina Kova	Clay-court card with red dust texture.	Tennis	WTA	Serbia	2023	Surface Masters	93	Common	48	86	Excellent	Raw			No	No	No	Base	8.50	14	In Stock	tennis,clay,value
TA-TEN-004	Andre Bell Match Point Auto	Andre Bell	Autographed match-point celebration card.	Tennis	ATP	United States	2024	Match Point Ink	94	Legendary	95	95	Gem Mint	PSA	10	/50	Yes	No	No	Blue Auto	285.00	1	In Stock	auto,tennis,match-point
TA-TEN-005	Yuki Sato Rookie Rally	Yuki Sato	Rookie baseline card with clean borders.	Tennis	WTA	Japan	2025	Court Debuts	95	Common	51	86	Excellent	Raw			No	No	Yes	Base	12.25	0	Out of Stock	rookie,tennis,baseline
TA-TEN-006	Carlos Mendes Hardcourt Hero	Carlos Mendes	Hardcourt action card with blue court foil.	Tennis	ATP	Brazil	2022	Hardcourt Heroes	96	Rare	78	90	Near Mint	SGC	9	/250	No	No	No	Blue Foil	50.00	5	In Stock	tennis,hardcourt,foil
TA-TEN-007	Elena Rossi Grand Slam Glow	Elena Rossi	Major tournament card with trophy shine finish.	Tennis	WTA	Italy	2024	Grand Slam Glow	97	Very Rare	89	92	Near Mint	BGS	9	/99	No	No	No	Trophy Shine	128.00	2	In Stock	tennis,grand-slam,parallel
TA-TEN-008	Maxim Dubois Net Rush	Maxim Dubois	Serve-and-volley specialist insert.	Tennis	ATP	France	2023	Net Rush	98	Uncommon	57	88	Near Mint	Raw			No	No	No	Base Insert	16.00	11	In Stock	tennis,net-play,insert
TA-TEN-009	Anika Weber Rookie Gold	Anika Weber	Gold parallel rookie card with low print run.	Tennis	WTA	Germany	2025	Court Debuts	99	Very Rare	87	91	Near Mint	PSA	9	/125	No	No	Yes	Gold	116.00	2	In Stock	rookie,tennis,gold
